station,valid, tmpf ,  tmpc ,  dwpf ,  dwpc
BWI,2016-05-02 03:54,53.06,11.70,53.06,11.70
DMH,2016-05-02 03:54,55.04,12.80,51.08,10.60
BWI,2016-05-02 03:55,M,M,M,M
BWI,2016-05-02 04:00,M,M,M,M
BWI,2016-05-02 04:03,53.06,11.70,53.06,11.70
BWI,2016-05-02 04:05,M,M,M,M
BWI,2016-05-02 04:10,M,M,M,M
BWI,2016-05-02 04:15,M,M,M,M
BWI,2016-05-02 04:20,M,M,M,M
BWI,2016-05-02 04:25,M,M,M,M
BWI,2016-05-02 04:30,M,M,M,M
BWI,2016-05-02 04:35,M,M,M,M
BWI,2016-05-02 04:40,M,M,M,M
BWI,2016-05-02 04:45,M,M,M,M
BWI,2016-05-02 04:50,M,M,M,M
BWI,2016-05-02 04:54,53.06,11.70,51.98,11.10
DMH,2016-05-02 04:54,53.96,12.20,51.98,11.10
BWI,2016-05-02 04:55,M,M,M,M
BWI,2016-05-02 05:00,M,M,M,M
BWI,2016-05-02 05:05,M,M,M,M
BWI,2016-05-02 05:10,M,M,M,M
BWI,2016-05-02 05:15,M,M,M,M
BWI,2016-05-02 05:20,M,M,M,M
BWI,2016-05-02 05:25,M,M,M,M
BWI,2016-05-02 05:30,M,M,M,M
BWI,2016-05-02 05:35,M,M,M,M
BWI,2016-05-02 05:40,M,M,M,M
BWI,2016-05-02 05:45,M,M,M,M
BWI,2016-05-02 05:50,M,M,M,M
DMH,2016-05-02 05:54,53.96,12.20,51.98,11.10
BWI,2016-05-02 05:54,53.96,12.20,53.06,11.70
BWI,2016-05-02 05:55,M,M,M,M
BWI,2016-05-02 06:00,M,M,M,M
BWI,2016-05-02 06:05,M,M,M,M
BWI,2016-05-02 06:08,53.60,12.00,53.60,12.00
BWI,2016-05-02 06:10,M,M,M,M
BWI,2016-05-02 06:15,M,M,M,M
BWI,2016-05-02 06:20,M,M,M,M
BWI,2016-05-02 06:25,M,M,M,M
BWI,2016-05-02 06:30,M,M,M,M
BWI,2016-05-02 06:35,M,M,M,M
BWI,2016-05-02 06:40,M,M,M,M
BWI,2016-05-02 06:45,M,M,M,M
BWI,2016-05-02 06:50,M,M,M,M
DMH,2016-05-02 06:54,53.96,12.20,51.98,11.10
BWI,2016-05-02 06:54,53.96,12.20,53.06,11.70
BWI,2016-05-02 06:55,M,M,M,M
BWI,2016-05-02 07:00,M,M,M,M
BWI,2016-05-02 07:05,M,M,M,M
BWI,2016-05-02 07:10,M,M,M,M
BWI,2016-05-02 07:15,M,M,M,M
BWI,2016-05-02 07:20,M,M,M,M
BWI,2016-05-02 07:25,M,M,M,M
BWI,2016-05-02 07:30,M,M,M,M
BWI,2016-05-02 07:35,M,M,M,M
BWI,2016-05-02 07:40,M,M,M,M
BWI,2016-05-02 07:45,M,M,M,M
BWI,2016-05-02 07:50,M,M,M,M
DMH,2016-05-02 07:54,53.96,12.20,51.98,11.10
BWI,2016-05-02 07:54,53.06,11.70,53.06,11.70
BWI,2016-05-02 07:55,M,M,M,M
BWI,2016-05-02 08:00,M,M,M,M
BWI,2016-05-02 08:05,M,M,M,M
BWI,2016-05-02 08:10,M,M,M,M
BWI,2016-05-02 08:15,M,M,M,M
BWI,2016-05-02 08:20,M,M,M,M
BWI,2016-05-02 08:25,M,M,M,M
BWI,2016-05-02 08:30,M,M,M,M
BWI,2016-05-02 08:35,M,M,M,M
BWI,2016-05-02 08:40,M,M,M,M
BWI,2016-05-02 08:45,M,M,M,M
BWI,2016-05-02 08:50,M,M,M,M
DMH,2016-05-02 08:54,53.96,12.20,53.06,11.70
BWI,2016-05-02 08:54,53.96,12.20,53.06,11.70
BWI,2016-05-02 08:55,M,M,M,M
BWI,2016-05-02 09:00,M,M,M,M
BWI,2016-05-02 09:05,M,M,M,M
BWI,2016-05-02 09:10,M,M,M,M
BWI,2016-05-02 09:15,M,M,M,M
BWI,2016-05-02 09:17,53.96,12.20,53.06,11.70
BWI,2016-05-02 09:20,M,M,M,M
BWI,2016-05-02 09:25,M,M,M,M
BWI,2016-05-02 09:30,M,M,M,M
BWI,2016-05-02 09:35,M,M,M,M
BWI,2016-05-02 09:40,M,M,M,M
BWI,2016-05-02 09:45,M,M,M,M
BWI,2016-05-02 09:50,M,M,M,M
DMH,2016-05-02 09:54,53.96,12.20,53.06,11.70
BWI,2016-05-02 09:54,53.96,12.20,53.06,11.70
BWI,2016-05-02 09:55,M,M,M,M
BWI,2016-05-02 10:00,M,M,M,M
BWI,2016-05-02 10:05,M,M,M,M
BWI,2016-05-02 10:10,M,M,M,M
BWI,2016-05-02 10:15,M,M,M,M
BWI,2016-05-02 10:20,M,M,M,M
BWI,2016-05-02 10:25,M,M,M,M
BWI,2016-05-02 10:30,M,M,M,M
BWI,2016-05-02 10:35,M,M,M,M
BWI,2016-05-02 10:40,M,M,M,M
BWI,2016-05-02 10:45,M,M,M,M
BWI,2016-05-02 10:50,M,M,M,M
DMH,2016-05-02 10:54,53.96,12.20,51.98,11.10
BWI,2016-05-02 10:54,53.96,12.20,53.06,11.70
BWI,2016-05-02 10:55,M,M,M,M
BWI,2016-05-02 11:00,M,M,M,M
BWI,2016-05-02 11:05,M,M,M,M
BWI,2016-05-02 11:10,M,M,M,M
BWI,2016-05-02 11:15,M,M,M,M
BWI,2016-05-02 11:20,M,M,M,M
BWI,2016-05-02 11:25,M,M,M,M
BWI,2016-05-02 11:30,M,M,M,M
BWI,2016-05-02 11:35,M,M,M,M
BWI,2016-05-02 11:40,M,M,M,M
BWI,2016-05-02 11:45,M,M,M,M
BWI,2016-05-02 11:50,M,M,M,M
DMH,2016-05-02 11:54,53.96,12.20,53.06,11.70
BWI,2016-05-02 11:54,53.96,12.20,53.96,12.20
BWI,2016-05-02 11:55,M,M,M,M
BWI,2016-05-02 12:00,M,M,M,M
BWI,2016-05-02 12:05,M,M,M,M
BWI,2016-05-02 12:09,53.96,12.20,53.96,12.20
BWI,2016-05-02 12:10,M,M,M,M
BWI,2016-05-02 12:15,M,M,M,M
BWI,2016-05-02 12:20,M,M,M,M
BWI,2016-05-02 12:25,M,M,M,M
BWI,2016-05-02 12:30,M,M,M,M
BWI,2016-05-02 12:35,M,M,M,M
BWI,2016-05-02 12:40,M,M,M,M
BWI,2016-05-02 12:45,M,M,M,M
BWI,2016-05-02 12:50,M,M,M,M
DMH,2016-05-02 12:54,55.04,12.80,53.96,12.20
BWI,2016-05-02 12:54,55.04,12.80,53.96,12.20
BWI,2016-05-02 12:55,M,M,M,M
BWI,2016-05-02 13:00,M,M,M,M
BWI,2016-05-02 13:05,M,M,M,M
BWI,2016-05-02 13:10,M,M,M,M
BWI,2016-05-02 13:15,M,M,M,M
BWI,2016-05-02 13:20,M,M,M,M
BWI,2016-05-02 13:21,55.04,12.80,53.96,12.20
BWI,2016-05-02 13:25,M,M,M,M
BWI,2016-05-02 13:30,M,M,M,M
BWI,2016-05-02 13:35,M,M,M,M
BWI,2016-05-02 13:36,55.04,12.80,53.96,12.20
BWI,2016-05-02 13:40,M,M,M,M
BWI,2016-05-02 13:45,M,M,M,M
BWI,2016-05-02 13:50,M,M,M,M
DMH,2016-05-02 13:54,55.94,13.30,53.06,11.70
BWI,2016-05-02 13:54,55.94,13.30,55.04,12.80
BWI,2016-05-02 13:55,M,M,M,M
