,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX,GRDFLX
2016-05-26 21:00:00,296.625915527,0.0,0.0,395.864257812,431.648620605,10.2621269226,-33.5916137695,11.0127344131
2016-05-26 22:00:00,296.360412598,0.0,0.0,404.484405518,430.964355469,11.0646476746,-27.2420730591,9.52683639526
2016-05-26 23:00:00,295.571563721,0.0,0.0,406.504455566,427.491851807,9.56911468506,-19.2020397186,10.8827896118
2016-05-27 00:00:00,294.634277344,0.0,0.0,390.492889404,423.113250732,6.17523097992,-19.783203125,15.50461483
2016-05-27 01:00:00,294.095947266,0.0,0.0,368.346252441,412.042510986,3.80891084671,-29.5632247925,18.575258255
2016-05-27 02:00:00,294.526519775,0.0,0.0,368.670257568,415.442321777,6.01976203918,-40.2436790466,12.8840885162
2016-05-27 03:00:00,294.030334473,0.0,0.0,367.287628174,413.784637451,5.70177459717,-37.6805458069,13.7058315277
2016-05-27 04:00:00,293.398803711,0.0,0.0,367.553833008,410.107513428,5.14726018906,-31.7309017181,15.3219766617
2016-05-27 05:00:00,292.662414551,0.0,0.0,366.303222656,404.663543701,3.66478657722,-22.8621006012,18.6184654236
2016-05-27 06:00:00,292.061645508,4.45017337799,0.635067939758,364.458007812,401.363250732,5.76428556442,-19.3463153839,19.2700233459
2016-05-27 07:00:00,293.608795166,154.017349243,21.9792499542,366.305023193,415.115356445,76.2053756714,2.83650040627,-0.805602490902
2016-05-27 08:00:00,296.052001953,345.561828613,49.3138580322,374.471221924,435.581878662,164.40007019,46.4065170288,-21.1061229706
2016-05-27 09:00:00,298.125793457,539.120727539,76.9359207153,380.5234375,455.504852295,245.272888184,100.660263062,-38.4325866699
2016-05-27 10:00:00,300.175933838,711.005310059,101.46496582,388.271636963,476.367736816,322.400756836,144.600524902,-53.2722129822
2016-05-27 11:00:00,301.948120117,847.196594238,120.900337219,395.593017578,492.263336182,389.259002686,176.253723145,-63.1739997864
2016-05-27 12:00:00,303.255279541,936.262878418,133.610641479,402.751617432,503.841339111,438.154846191,195.807601929,-67.5160751343
2016-05-27 13:00:00,304.165893555,972.543212891,138.788070679,407.712890625,510.314178467,480.433837891,186.875335693,-65.5302886963
2016-05-27 14:00:00,304.378631592,951.70703125,135.814620972,410.817108154,510.227813721,470.572174072,187.572860718,-60.3563575745
2016-05-27 15:00:00,304.231781006,875.099853516,124.882301331,412.065307617,504.668548584,455.938720703,149.742385864,-51.7625312805
2016-05-27 16:00:00,303.771514893,750.664428711,107.124565125,413.148071289,499.375518799,397.335113525,120.611236572,-41.516292572
2016-05-27 17:00:00,303.681396484,587.29888916,83.8113021851,413.74041748,490.469207764,321.982910156,74.7200698853,-32.0355873108
2016-05-27 18:00:00,302.931518555,401.114562988,57.2415885925,410.665313721,479.036437988,238.750564575,19.3257198334,-19.795501709
2016-05-27 19:00:00,300.106231689,207.302017212,29.5833091736,400.88961792,455.25567627,159.492202759,-29.6901931763,3.11148452759
2016-05-27 20:00:00,297.900939941,36.7009315491,5.23745679855,392.746459961,436.764709473,49.1258850098,-40.5682792664,18.2357749939
2016-05-27 21:00:00,296.436981201,0.0,0.0,384.652130127,428.788726807,10.1219377518,-32.442325592,20.8453483582
2016-05-27 22:00:00,295.601531982,0.0,0.0,380.412078857,423.235290527,7.2947306633,-25.6988830566,23.2549476624
2016-05-27 23:00:00,295.469268799,0.0,0.0,377.494506836,422.017791748,8.64634227753,-33.4663162231,19.8093700409
2016-05-28 00:00:00,295.132995605,0.0,0.0,373.995758057,419.321136475,7.2634935379,-32.7061271667,19.7101039886
2016-05-28 01:00:00,294.816619873,0.0,0.0,371.635864258,417.96182251,7.35678100586,-34.5547218323,18.5802211761
2016-05-28 02:00:00,294.334289551,0.0,0.0,370.338287354,415.612091064,7.02427768707,-33.0557136536,18.5091152191
2016-05-28 03:00:00,293.720214844,0.0,0.0,368.596038818,412.278533936,6.4301404953,-30.7607078552,18.9391593933
2016-05-28 04:00:00,293.00402832,0.0,0.0,364.581848145,408.304931641,5.05244684219,-27.3941631317,20.6303577423
2016-05-28 05:00:00,292.373382568,0.0,0.0,362.909942627,404.685760498,3.91603374481,-23.5019397736,21.5533370972
2016-05-28 06:00:00,291.862579346,5.11371660233,0.72975987196,361.902923584,400.988739014,5.29964113235,-17.676240921,22.1908359528
2016-05-28 07:00:00,293.510223389,156.073410034,22.2726707458,362.491485596,415.166442871,73.0330886841,6.62023258209,1.77138626575
2016-05-28 08:00:00,295.777404785,349.683105469,49.9019813538,368.151977539,434.482635498,163.987472534,49.0038261414,-17.4817066193
2016-05-28 09:00:00,297.624755859,542.730712891,77.4511032104,373.785919189,451.996124268,253.288955688,97.8955764771,-33.0104026794
2016-05-28 10:00:00,299.836395264,715.413391113,102.094009399,381.087249756,472.555297852,337.959564209,134.663406372,-47.9517364502
2016-05-28 11:00:00,301.509521484,852.838623047,121.705467224,387.153381348,488.308807373,401.34552002,168.741210938,-58.5204658508
2016-05-28 12:00:00,302.984375,943.813232422,134.68812561,392.687530518,500.539886475,454.385406494,183.036224365,-63.5598373413
2016-05-28 13:00:00,304.076934814,981.029418945,139.99911499,397.182312012,508.655639648,481.347564697,185.337127686,-64.0752182007
2016-05-28 14:00:00,304.555236816,962.963500977,137.420974731,396.320770264,508.445678711,486.820068359,168.967041016,-58.8821258545
2016-05-28 15:00:00,304.480255127,888.192321777,126.750656128,395.74041748,503.264190674,466.337768555,139.934768677,-49.4319953918
2016-05-28 16:00:00,304.124786377,764.216491699,109.058540344,394.179351807,495.834503174,415.275939941,100.776138306,-39.3910636902
2016-05-28 17:00:00,303.488098145,600.56237793,85.7040405273,392.725250244,485.221862793,346.785369873,50.6500892639,-27.2376327515
2016-05-28 18:00:00,301.746582031,412.721801758,58.8980178833,383.699859619,468.13861084,257.917297363,3.75889253616,-10.543589592
2016-05-28 19:00:00,299.499359131,216.117385864,30.8413181305,372.92477417,447.684631348,173.613372803,-50.1984863281,8.77939414978
2016-05-28 20:00:00,296.592102051,40.360534668,5.75970506668,361.471740723,424.205596924,60.9034118652,-57.6568908691,27.9200210571
2016-05-28 21:00:00,294.781402588,0.0,0.0,351.352813721,414.152832031,10.601064682,-39.8263778687,31.9504718781
2016-05-28 22:00:00,293.564483643,0.0,0.0,350.435668945,408.006134033,7.2395029068,-30.9237270355,33.2252349854
2016-05-28 23:00:00,292.732055664,0.0,0.0,350.053985596,404.062286377,4.51983594894,-23.9702243805,33.6109085083
2016-05-29 00:00:00,292.019744873,0.0,0.0,346.46182251,397.886566162,2.11376976967,-17.0755558014,35.6586494446
2016-05-29 01:00:00,291.613922119,0.0,0.0,341.799346924,391.311553955,0.13687504828,-9.86924934387,38.5653572083
2016-05-29 02:00:00,291.073577881,0.0,0.0,334.49798584,385.730316162,-3.09542441368,-7.9976143837,39.3203620911
2016-05-29 03:00:00,290.188598633,0.0,0.0,332.446472168,382.153137207,-4.18556404114,-6.28328847885,38.65209198
2016-05-29 04:00:00,289.637786865,0.0,0.0,332.258605957,379.845336914,-4.49521493912,-5.31615591049,37.1869812012
2016-05-29 05:00:00,289.617858887,0.0,0.0,333.248291016,379.076599121,-5.22728157043,-5.9205994606,34.2094802856
2016-05-29 06:00:00,289.248046875,6.21060609818,0.886292874813,332.171936035,376.804870605,-4.18719482422,-4.43416595459,31.6516571045
2016-05-29 07:00:00,290.974487305,165.102554321,23.5611801147,333.009521484,403.344543457,45.1699104309,20.8511047363,-1.47099161148
2016-05-29 08:00:00,294.43939209,359.09866333,51.2456436157,340.854553223,430.091217041,124.120788574,63.8961029053,-27.2948684692
2016-05-29 09:00:00,297.060974121,552.66418457,78.8686981201,349.676483154,453.879516602,210.318771362,110.189964294,-46.6101341248
2016-05-29 10:00:00,299.333496094,730.340820312,104.22428894,361.155548096,475.305114746,297.558258057,151.670532227,-61.1506690979
2016-05-29 11:00:00,301.903320312,856.982910156,122.296882629,382.512756348,491.2996521,403.412780762,154.416091919,-67.7211380005
2016-05-29 12:00:00,302.90838623,938.662963867,133.953201294,394.202758789,498.549926758,453.166381836,182.882873535,-65.93409729
2016-05-29 13:00:00,302.281616211,642.321350098,91.6633224487,433.710754395,476.621551514,353.298461914,99.371887207,-47.4011192322
2016-05-29 14:00:00,302.086578369,671.189758301,95.7830352783,431.533996582,481.050384521,358.159362793,117.272422791,-45.6894111633
2016-05-29 15:00:00,301.68460083,476.568878174,68.0093917847,434.601379395,484.613311768,281.449157715,54.438243866,-32.0860176086
2016-05-29 16:00:00,301.812286377,368.180603027,52.5416908264,436.397644043,478.473388672,242.420944214,14.0688467026,-25.1283836365
2016-05-29 17:00:00,301.457580566,236.689315796,33.777053833,436.552062988,459.73840332,183.563537598,-23.868642807,-16.9755554199
2016-05-29 18:00:00,300.296051025,180.834213257,25.8061904907,431.215209961,456.365661621,143.569091797,-23.0734901428,-9.95784854889
2016-05-29 19:00:00,298.989746094,78.5068359375,11.2034254074,414.812744141,446.754974365,65.8783798218,-28.9762878418,-0.547993004322
2016-05-29 20:00:00,297.404632568,17.3883628845,2.48142981529,419.079162598,437.986480713,30.1175460815,-26.3415222168,6.35223579407
2016-05-29 21:00:00,295.936981201,0.0,0.0,399.862915039,428.184112549,5.68814086914,-19.1120471954,13.1992855072
2016-05-29 22:00:00,295.232299805,0.0,0.0,400.820098877,422.431854248,-0.315762370825,-3.92463779449,16.3093147278
2016-05-29 23:00:00,294.734405518,0.0,0.0,397.679046631,418.266662598,-1.24765217304,-2.16295623779,17.1727237701
2016-05-30 00:00:00,293.692901611,0.0,0.0,390.825958252,416.843383789,-3.6467063427,-3.50558757782,17.3639907837
2016-05-30 01:00:00,293.482818604,0.0,0.0,414.242523193,420.117614746,7.27771854401,-0.735674917698,12.3082771301
2016-05-30 02:00:00,293.281860352,0.0,0.0,410.374420166,418.560211182,4.96950864792,-1.40834403038,11.6858673096
2016-05-30 03:00:00,292.951385498,0.0,0.0,407.151580811,417.435791016,2.21462869644,-0.396511286497,11.5344638824
2016-05-30 04:00:00,292.939788818,0.0,0.0,414.164520264,417.631011963,4.60545444489,1.38508653641,9.4880361557
2016-05-30 05:00:00,292.891235352,0.0,0.0,414.304443359,417.375915527,4.28061628342,1.10744667053,8.40721130371
2016-05-30 06:00:00,292.951477051,4.0059595108,0.57167583704,409.796081543,417.475616455,2.8133866787,0.246181294322,7.00496721268
2016-05-30 07:00:00,292.905609131,68.8483276367,9.82509326935,413.733337402,420.132202148,32.6486244202,20.4980983734,1.74566578865
2016-05-30 08:00:00,294.369628906,253.032028198,36.1092758179,400.077514648,428.880584717,112.439620972,57.2047958374,-13.0230903625
2016-05-30 09:00:00,297.662414551,539.422180176,76.9789657593,384.001525879,454.396697998,250.892959595,104.629234314,-34.5492248535
2016-05-30 10:00:00,299.130645752,710.518554688,101.395515442,388.020446777,469.437042236,327.31817627,152.952301025,-45.815284729
2016-05-30 11:00:00,300.350524902,844.859741211,120.566825867,393.387451172,481.32723999,392.162780762,187.954681396,-53.8990859985
2016-05-30 12:00:00,301.00289917,934.538208008,133.364517212,397.004241943,487.122039795,466.868988037,184.149749756,-52.9217758179
2016-05-30 13:00:00,300.532958984,729.184326172,104.05921936,432.840698242,479.337890625,446.035522461,92.3091583252,-35.7663002014
2016-05-30 14:00:00,300.294158936,623.784545898,89.0179977417,438.72064209,479.062255859,383.692932129,75.8787002563,-30.9021015167
2016-05-30 15:00:00,300.684844971,747.727966309,106.705543518,411.315856934,469.377319336,438.15625,101.845161438,-35.9747619629
2016-05-30 16:00:00,299.667449951,310.717407227,44.3413391113,414.862213135,471.363189697,206.957580566,6.59393692017,-12.0060682297
2016-05-30 17:00:00,299.760040283,395.172729492,56.3936576843,412.885894775,465.494171143,250.011016846,26.0577430725,-14.764746666
2016-05-30 18:00:00,299.607391357,343.38684082,49.0034828186,401.315917969,456.176025391,217.708068848,11.5260362625,-11.1745300293
2016-05-30 19:00:00,298.914916992,189.796844482,27.0852184296,404.40057373,448.617523193,137.142486572,-18.518289566,-1.95752370358
2016-05-30 20:00:00,296.932952881,35.3108634949,5.03908395767,396.507598877,434.000793457,31.6086883545,-24.6596603394,11.8740243912
2016-05-30 21:00:00,295.543182373,0.0,0.0,392.702758789,423.66494751,2.17948889732,-13.3309288025,18.8334770203
2016-05-30 22:00:00,294.843231201,0.0,0.0,396.517700195,419.754882812,0.629329383373,-6.28620958328,18.519744873
2016-05-30 23:00:00,294.536071777,0.0,0.0,401.853759766,422.242462158,12.1323900223,-16.9651660919,15.1713838577
2016-05-31 00:00:00,293.488464355,0.0,0.0,381.814819336,414.379699707,-4.01277732849,-7.73237133026,20.1881446838
2016-05-31 01:00:00,293.423950195,0.0,0.0,384.222625732,413.190612793,-2.86241078377,-2.46287989616,21.1804790497
2016-05-31 02:00:00,293.24105835,0.0,0.0,379.206390381,407.102294922,-2.10349297523,-1.20989596844,22.787694931
2016-05-31 03:00:00,293.355895996,0.0,0.0,416.306976318,419.731933594,5.22499036789,0.0426689945161,8.68754005432
2016-05-31 04:00:00,293.346374512,0.0,0.0,409.61630249,418.433624268,0.364085674286,-0.202353045344,8.6559009552
2016-05-31 05:00:00,293.066253662,0.0,0.0,383.709320068,413.263458252,-2.45768475533,-1.43604815006,18.7664203644
2016-05-31 06:00:00,292.436157227,5.36836528778,0.766099691391,397.261077881,410.51184082,-0.538081884384,-1.06231236458,9.69351196289
2016-05-31 07:00:00,293.028991699,53.6429100037,7.65518331528,415.00112915,420.570739746,27.104265213,13.1151170731,0.596224725246
2016-05-31 08:00:00,294.44418335,214.826278687,30.657075882,406.529663086,427.513275146,100.480834961,42.0889472961,-14.2164316177
2016-05-31 09:00:00,295.409515381,176.162338257,25.1394767761,417.828643799,435.432861328,88.574508667,28.5887432098,-15.4755992889
2016-05-31 10:00:00,295.461395264,189.559921265,27.051404953,415.589752197,437.657562256,91.4054031372,35.645072937,-14.2927856445
2016-05-31 11:00:00,296.495330811,480.774841309,68.6096115112,407.220184326,447.208343506,226.602630615,106.200462341,-30.3754692078
2016-05-31 12:00:00,297.4894104,769.852600098,109.862869263,397.667449951,473.491027832,357.93170166,187.586288452,-44.4330596924
2016-05-31 13:00:00,299.585235596,972.666870117,138.805725098,386.501373291,472.956878662,414.731628418,249.57522583,-65.5916519165
2016-05-31 14:00:00,301.478637695,951.807312012,135.828933716,395.806182861,497.4140625,429.869995117,221.465530396,-64.2699279785
2016-05-31 15:00:00,301.812652588,882.598510742,125.952407837,393.984161377,495.195922852,412.782592773,188.810028076,-55.9753608704
2016-05-31 16:00:00,301.929504395,758.931274414,108.304283142,396.692138672,491.187927246,368.249572754,143.129333496,-47.2169380188
2016-05-31 17:00:00,301.907623291,596.306213379,85.0966720581,399.067871094,482.836395264,307.684265137,86.159362793,-35.7695960999
2016-05-31 18:00:00,301.353637695,408.433105469,58.285987854,400.159545898,472.053894043,225.183929443,33.052822113,-22.6143074036
2016-05-31 19:00:00,299.521697998,214.676544189,30.6357002258,395.631896973,455.689300537,114.779098511,4.80207538605,-6.57122564316
2016-05-31 20:00:00,295.448150635,15.1720809937,2.16515183449,426.808563232,432.674407959,42.2484359741,-12.496972084,19.4688358307
2016-05-31 21:00:00,294.136993408,0.0,0.0,379.91506958,416.079101562,-1.97494614124,-6.33170747757,27.7229480743
2016-05-31 22:00:00,294.586120605,0.0,0.0,410.70123291,424.040222168,4.98799371719,-1.53611087799,17.1926078796
2016-05-31 23:00:00,295.105499268,0.0,0.0,413.15222168,425.624084473,1.79990911484,-0.773082613945,13.6011476517
2016-06-01 00:00:00,294.782684326,0.0,0.0,412.159484863,424.510498047,2.87288236618,-1.84609556198,13.0765199661
2016-06-01 01:00:00,294.018371582,0.0,0.0,409.058410645,422.186523438,4.62892723083,-3.30677747726,13.7614078522
2016-06-01 02:00:00,293.140838623,0.0,0.0,372.673919678,412.321624756,-4.43013048172,-2.77133178711,26.1129798889
2016-06-01 03:00:00,292.611083984,0.0,0.0,371.291320801,404.136993408,-4.29981279373,-2.70274066925,25.4350318909
2016-06-01 04:00:00,292.630615234,0.0,0.0,371.613433838,402.368408203,-3.23497819901,-2.16047644615,24.7057514191
2016-06-01 05:00:00,293.095367432,0.0,0.0,407.819976807,415.788421631,4.59193944931,-3.99589085579,8.88958835602
2016-06-01 06:00:00,292.733917236,2.50528168678,0.35751953721,404.895629883,414.552001953,4.84991502762,-3.70930886269,8.84884929657
2016-06-01 07:00:00,293.291412354,158.648025513,22.6400814056,368.121948242,418.604278564,60.764289856,21.7295036316,-1.02117478848
