,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX,GRDFLX,TSK,QVAPOR,net_lw,r_net
2016-06-11 09:00:00,23.8858886719,553.346496582,96.1928939819,374.293487549,451.012634277,141.428283691,109.889595032,-109.063446045,299.526947021,0.0117181250826,-76.7191467285,380.434455872
2016-06-11 10:00:00,26.5266662598,721.713439941,125.461608887,384.157745361,472.075378418,194.811340332,156.521575928,-130.710006714,302.860412598,0.0126921171322,-87.9176330566,508.334197998
2016-06-11 11:00:00,28.9421936035,855.561889648,148.72958374,393.51739502,490.186859131,239.321121216,191.514556885,-145.746322632,305.831054688,0.0137009080499,-96.6694641113,610.162841797
2016-06-11 12:00:00,30.8829284668,944.446411133,164.181167603,402.77130127,505.935302734,284.924041748,219.626708984,-138.193588257,307.732177734,0.0137082794681,-103.164001465,677.101242065
2016-06-11 13:00:00,31.9150024414,979.467163086,170.269165039,411.207458496,513.292785645,306.889953613,236.542816162,-126.803039551,308.781433105,0.0138152111322,-102.085327148,707.112670898
2016-06-11 14:00:00,32.5720458984,964.19152832,167.613586426,410.151672363,516.190795898,312.88168335,231.109680176,-108.943756104,309.214172363,0.0136121995747,-106.039123535,690.538818359
2016-06-11 15:00:00,33.1807800293,890.092041016,154.732177734,414.416717529,517.418762207,303.131713867,201.810943604,-90.8208236694,309.414916992,0.0133011909202,-103.002044678,632.357818604
2016-06-11 16:00:00,33.5674377441,772.407531738,134.274200439,411.927307129,517.722167969,285.895843506,153.552963257,-63.1936798096,309.058929443,0.0121994251385,-105.79486084,532.338470459
2016-06-11 17:00:00,33.4980102539,613.025817871,106.567489624,412.354003906,510.910888672,244.510345459,99.4127044678,-37.8849411011,308.237426758,0.0121296737343,-98.5568847656,407.901443481
2016-06-11 18:00:00,33.2007995605,428.097595215,74.4198532104,413.940124512,504.4347229,179.067520142,46.8761825562,-16.7054042816,307.260345459,0.0128143774346,-90.4945983887,263.183143616
2016-06-11 19:00:00,32.1054016113,236.542892456,41.1202545166,410.45513916,494.139923096,108.380661011,7.40065002441,16.0553207397,305.432983398,0.0133779682219,-83.6847839355,111.737854004
2016-06-11 20:00:00,29.9848266602,57.7413215637,10.0376663208,404.348602295,477.133117676,39.6906204224,-17.2881011963,52.3053245544,302.660522461,0.0139269996434,-72.7845153809,-25.0808601379
2016-06-11 21:00:00,28.418359375,0.0,0.0,397.713531494,465.758483887,5.76015233994,-21.2371807098,55.5661659241,301.001464844,0.0136039843783,-68.0449523926,-68.0449523926
2016-06-11 22:00:00,26.663873291,0.0,0.0,389.63885498,454.857116699,4.53547000885,-18.5299186707,53.6199073792,299.267456055,0.0133327888325,-65.2182617188,-65.2182617188
2016-06-11 23:00:00,25.9467407227,0.0,0.0,385.901550293,449.511657715,4.85985183716,-22.0802307129,48.4793167114,298.48651123,0.0127156367525,-63.6101074219,-63.6101074219
2016-06-12 00:00:00,25.280267334,0.0,0.0,383.220153809,445.220062256,4.79592418671,-23.1283283234,45.2206077576,297.78704834,0.0122769977897,-61.9999084473,-61.9999084473
2016-06-12 01:00:00,25.0059753418,0.0,0.0,382.335723877,443.069396973,5.31392526627,-26.4979705811,40.8243789673,297.48260498,0.0119401700795,-60.7336730957,-60.7336730957
2016-06-12 02:00:00,24.2367797852,0.0,0.0,378.782012939,439.246948242,4.89755964279,-24.9911651611,40.920085907,296.734222412,0.0117196217179,-60.4649353027,-60.4649353027
2016-06-12 03:00:00,23.5938354492,0.0,0.0,377.378540039,435.359375,4.85671043396,-24.0680179596,39.6485176086,296.133056641,0.0114711681381,-57.9808349609,-57.9808349609
2016-06-12 04:00:00,22.6281066895,0.0,0.0,374.653320312,430.343078613,4.10197305679,-19.9091339111,40.8032798767,295.234405518,0.0113507248461,-55.6897583008,-55.6897583008
2016-06-12 05:00:00,23.3265319824,0.0,0.0,378.011535645,433.362304688,5.45088100433,-29.0167770386,31.9081306458,295.816772461,0.0111666861922,-55.350769043,-55.350769043
2016-06-12 06:00:00,22.6822143555,18.4691162109,3.21064400673,374.805541992,429.661590576,15.6269845963,-26.817741394,29.0296325684,295.175598145,0.0113087128848,-54.856048584,-39.5975763798
2016-06-12 07:00:00,24.9127441406,177.239990234,30.8111381531,374.476928711,438.354187012,64.0101165771,-9.60537910461,-18.8018684387,297.851867676,0.0127973435447,-63.8772583008,82.5515937805
2016-06-12 08:00:00,26.3886657715,367.880371094,63.9517822266,382.601623535,458.386199951,112.030464172,46.0351905823,-58.1808166504,300.51953125,0.0136474389583,-75.784576416,228.144012451
2016-06-12 09:00:00,27.6971374512,556.258178711,96.6991119385,387.215270996,473.235198975,163.200378418,104.843719482,-86.2501220703,302.915100098,0.0140094142407,-86.0199279785,373.539138794
2016-06-12 10:00:00,28.9354797363,722.895812988,125.667114258,394.088562012,487.204589844,213.574325562,159.341842651,-104.773887634,305.042816162,0.0139339147136,-93.116027832,504.112670898
2016-06-12 11:00:00,29.7426086426,855.302185059,148.684432983,398.407104492,496.539123535,258.042480469,210.836090088,-107.428672791,306.40423584,0.0135796843097,-98.132019043,608.485733032
2016-06-12 12:00:00,30.1606689453,947.584960938,164.726760864,395.833129883,502.307037354,288.608154297,245.109725952,-105.565551758,307.256713867,0.0128370402381,-106.473907471,676.384292603
2016-06-12 13:00:00,30.5463195801,992.917297363,172.607223511,388.232574463,506.475128174,305.721740723,255.986236572,-99.8605651855,307.87487793,0.0119653493166,-118.242553711,702.067520142
2016-06-12 14:00:00,30.5998168945,985.931640625,171.392913818,377.806915283,505.894287109,314.343322754,251.995834351,-79.7987594604,307.676513672,0.0108080422506,-128.087371826,686.45135498
2016-06-12 15:00:00,29.9507080078,919.873779297,159.909545898,368.335296631,500.426483154,302.406646729,234.067016602,-53.5781860352,306.690307617,0.00976433698088,-132.091186523,627.873046875
2016-06-12 16:00:00,28.8843322754,802.591491699,139.521286011,358.005432129,490.3409729,274.547668457,199.834503174,-22.7742481232,305.069274902,0.00892508495599,-132.335540771,530.734664917
2016-06-12 17:00:00,27.6944519043,644.31427002,112.006607056,347.926544189,477.967834473,237.459945679,146.937393188,9.40146827698,303.060119629,0.00807624403387,-130.041290283,402.266372681
2016-06-12 18:00:00,25.8102661133,454.634979248,79.0330657959,338.929046631,462.558502197,178.330673218,95.1502075195,42.0204544067,300.468658447,0.00798466335982,-123.629455566,251.972457886
