,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX,GRDFLX
2016-05-25 15:00:00,298.553222656,895.445068359,179.85005188,342.353515625,462.82699585,374.596984863,112.861114502,-106.494758606
2016-05-25 16:00:00,299.818634033,984.045166016,197.645355225,349.529846191,470.92855835,439.022003174,121.902664185,-103.788909912
2016-05-25 17:00:00,300.534393311,1017.93505859,204.452072144,350.555297852,473.564453125,485.434753418,110.827842712,-94.3075485229
2016-05-25 18:00:00,301.002685547,985.953735352,198.028686523,354.543792725,475.060821533,484.787231445,98.5643539429,-84.5543212891
2016-05-25 19:00:00,301.22366333,871.303649902,175.001190186,366.650878906,474.683898926,437.586273193,78.348991394,-73.1583557129
2016-05-25 20:00:00,301.456756592,763.518798828,153.352645874,365.816558838,472.527069092,392.257049561,50.3196029663,-61.9096031189
2016-05-25 21:00:00,301.434295654,587.604309082,118.020210266,368.648010254,466.790313721,317.163543701,9.67374324799,-46.0951881409
2016-05-25 22:00:00,300.744659424,397.894836426,79.9171066284,370.149108887,458.204986572,217.300033569,-15.1410732269,-29.1866474152
2016-05-25 23:00:00,298.825378418,183.260101318,36.8077735901,372.067321777,446.600921631,95.0043106079,-25.0024318695,-5.55303525925
2016-05-26 00:00:00,296.086425781,29.0308017731,5.83083200455,362.276397705,426.00994873,14.7531452179,-23.8425121307,27.0830936432
2016-05-26 01:00:00,294.428497314,0.0,0.0,355.618682861,412.10736084,2.49900627136,-19.4989910126,38.1259346008
2016-05-26 02:00:00,293.029846191,0.0,0.0,349.27444458,405.21963501,2.3149433136,-16.3255519867,40.9389686584
2016-05-26 03:00:00,291.62979126,0.0,0.0,342.683441162,400.090301514,3.58713769913,-17.8144607544,41.9119338989
2016-05-26 04:00:00,290.42678833,0.0,0.0,333.063201904,393.646789551,2.52981615067,-17.7581520081,44.2903556824
2016-05-26 05:00:00,289.948608398,0.0,0.0,324.615142822,387.626373291,0.904851794243,-16.7423477173,46.1779060364
2016-05-26 06:00:00,289.949371338,0.0,0.0,324.106323242,383.970458984,0.0816421508789,-15.2502145767,44.0055236816
2016-05-26 07:00:00,289.758575439,0.0,0.0,323.284545898,381.414642334,-2.89670777321,-14.7134304047,40.266784668
2016-05-26 08:00:00,289.628631592,0.0,0.0,325.224029541,381.674102783,-4.5821185112,-17.8349761963,33.6143112183
2016-05-26 09:00:00,289.463684082,0.0,0.0,328.892852783,381.216217041,-5.87530040741,-17.8349666595,28.5728092194
2016-05-26 10:00:00,289.033355713,10.1145057678,2.03149724007,328.428466797,381.791809082,-3.72634220123,-21.7435932159,20.8884983063
2016-05-26 11:00:00,291.24786377,162.712387085,32.6807518005,333.055389404,401.416168213,38.7366485596,-0.794773519039,-20.7396621704
2016-05-26 12:00:00,294.034912109,366.352203369,73.58177948,342.242950439,424.327606201,104.034179688,42.1670913696,-60.1564064026
2016-05-26 13:00:00,296.824798584,561.738098145,112.824996948,353.580810547,446.591796875,192.290496826,74.6078414917,-86.1485595703
2016-05-26 14:00:00,298.998809814,728.185852051,146.256011963,362.400146484,463.159423828,278.621643066,100.271080017,-100.02507019
2016-05-26 15:00:00,301.080780029,870.784790039,174.896987915,369.143035889,478.180969238,369.243225098,111.800140381,-106.065246582
2016-05-26 16:00:00,302.386901855,961.227355957,193.062316895,374.07208252,480.862426758,483.045166016,84.1156387329,-94.9726486206
2016-05-26 17:00:00,302.680633545,997.50958252,200.349655151,373.861175537,482.22265625,515.853820801,86.8110733032,-86.4314727783
2016-05-26 18:00:00,302.658172607,974.448242188,195.717773438,372.195068359,480.810333252,519.657348633,76.9319610596,-74.1226501465
