,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX,GRDFLX,TSK,QVAPOR,net_lw,r_net
2016-05-27 03:00:00,20.6475769043,0.0,0.0,370.341796875,412.532226562,4.20932674408,-31.0135955811,14.4477090836,292.375976562,0.0120225297287,-42.1904296875,-42.1904296875
2016-05-27 04:00:00,20.330255127,0.0,0.0,369.755889893,409.518768311,3.75985598564,-29.5295257568,14.0382928848,292.001525879,0.0118386484683,-39.762878418,-39.762878418
2016-05-27 05:00:00,20.3464599609,0.0,0.0,369.986877441,410.792755127,5.42622566223,-36.1592712402,10.0152435303,292.216339111,0.0115846833214,-40.8058776855,-40.8058776855
2016-05-27 06:00:00,19.9176879883,6.71669530869,0.973025858402,369.496276855,408.847412109,10.09491539,-33.0399475098,10.4427232742,291.824005127,0.0114851547405,-39.3511352539,-33.6074658036
2016-05-27 07:00:00,20.9380126953,155.937179565,22.5901165009,369.637817383,418.677062988,67.3488922119,5.85495424271,-7.87190723419,294.304718018,0.0120750833303,-49.0392456055,84.3078174591
2016-05-27 08:00:00,22.9902893066,348.395843506,50.4709663391,374.956787109,436.976318359,154.789627075,48.6167411804,-29.2538852692,297.598175049,0.0125757595524,-62.01953125,235.905345917
2016-05-27 09:00:00,25.0598083496,538.37512207,77.9926681519,381.624755859,457.028442383,240.975067139,92.8515167236,-48.7055015564,300.959716797,0.0132337342948,-75.4036865234,384.978767395
2016-05-27 10:00:00,27.024407959,708.816589355,102.683959961,389.017486572,475.017822266,327.112030029,129.038803101,-62.7260627747,303.790863037,0.0137422718108,-86.0003356934,520.132293701
2016-05-27 11:00:00,28.752923584,844.624633789,122.358032227,396.657470703,491.289520264,395.451202393,156.992538452,-74.1583404541,306.432220459,0.0143753048033,-94.6320495605,627.634552002
2016-05-27 12:00:00,30.0077453613,932.674926758,135.113616943,403.579833984,503.01965332,445.43145752,173.705078125,-78.7406921387,308.174194336,0.0146630313247,-99.4398193359,698.121490479
2016-05-27 13:00:00,30.9036499023,967.162597656,140.109680176,410.772705078,510.605316162,481.97442627,174.671173096,-74.4574279785,308.627716064,0.0141596933827,-99.832611084,727.220306396
2016-05-27 14:00:00,31.450402832,948.317565918,137.379730225,411.461669922,509.259460449,474.269470215,167.150421143,-71.2560424805,309.096618652,0.0149082355201,-97.7977905273,713.140045166
2016-05-27 15:00:00,27.0793701172,29.1370487213,4.22099018097,446.323699951,494.093688965,74.4410095215,-54.2118606567,1.18237900734,298.979553223,0.0149466283619,-47.7699890137,-22.8539304733
2016-05-27 16:00:00,23.4028869629,155.323974609,22.5012760162,421.237548828,440.468078613,115.836364746,11.6069803238,12.7417917252,296.904388428,0.0152263082564,-19.2305297852,113.592168808
2016-05-27 17:00:00,26.3153015137,573.863098145,83.133682251,393.897125244,464.2578125,307.938751221,91.4711074829,-20.4126205444,301.72744751,0.0156091218814,-70.3606872559,420.368728638
2016-05-27 18:00:00,27.0955444336,399.700164795,57.9032592773,400.596496582,465.539550781,210.131866455,48.5972709656,-19.1384429932,301.569946289,0.0156582966447,-64.9430541992,276.853851318
2016-05-27 19:00:00,26.3408447266,205.886184692,29.8260631561,399.261749268,453.860229492,129.296524048,-9.19938850403,-3.99409651756,299.241149902,0.0149412620813,-54.5984802246,121.461641312
2016-05-27 20:00:00,24.0069213867,38.3569602966,5.55664873123,392.40234375,434.881378174,51.2494773865,-42.4794044495,15.7476320267,295.920837402,0.0131003344432,-42.4790344238,-9.67872285843
2016-05-27 21:00:00,22.6807495117,0.0,0.0,388.422393799,427.141113281,7.47353172302,-24.7474536896,19.7623462677,294.73828125,0.0126830469817,-38.7187194824,-38.7187194824
2016-05-27 22:00:00,21.6582885742,0.0,0.0,381.525695801,418.983947754,4.04423999786,-15.5979061127,24.5880737305,293.381530762,0.0125540867448,-37.4582519531,-37.4582519531
2016-05-27 23:00:00,21.1741271973,0.0,0.0,387.363922119,417.09375,4.17408943176,-12.1420021057,21.708782196,293.194061279,0.0123529946432,-29.7298278809,-29.7298278809
2016-05-28 00:00:00,21.3217407227,0.0,0.0,379.547424316,415.182952881,4.72559833527,-20.4519710541,19.6693344116,292.900085449,0.0118090435863,-35.6355285645,-35.6355285645
